con_legis_num,legislation_number,congress_session,title,cosponsors,bill,gov_track,dc_ratio_aggregate,ratio_binary,manual_coding,URL
102_s.1216,S. 1216,102,Chinese Student Protection Act of 1992,9,1,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/1216?q=%7B%22search%22%3A%22Chinese+Student+Protection+Act+of+1992%22%7D&s=1&r=1
102_s.1366,S. 1366,102,"A bill to prohibit the entry into the United States of items produced, grown, or manufactured in the People s Republic of China with the use of forced labor.",8,1,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/1366?q=%7B%22search%22%3A%22A+bill+to+prohibit+the+entry+into+United+States+State+of+items+item+produced%2C+grown%2C+or+manufactured+in+People%E2%80%99s+People%27s+People+People%E2%80%98s+Republic+China+with+use+forced+labor.%22%7D&r=2&s=6
102_s.1367,S. 1367,102,United States-China Act of 1991,27,1,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/1367?q=%7B%22search%22%3A%22United+States-China+Act+of+1991%22%7D&s=7&r=34
102_s.1413,S. 1413,102,A bill to encourage the termination of human rights abuses inside the People s Republic of China and Tibet.,6,1,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/1413?q=%7B%22search%22%3A%22A+bill+to+encourage+the+termination+of+human+rights+right+abuses+abuse+inside+People%E2%80%99s+People%27s+People+People%E2%80%98s+Republic+China+and+Tibet.%22%7D&r=3&s=8
102_s.1433,S. 1433,102,"Foreign Relations Authorization Act, Fiscal Years 1992 and 1993",0,1,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/1433?q=%7B%22search%22%3A%22Foreign+Relations+Relation+Authorization+Act%2C+Fiscal+Years+Year+1992+and+1993%22%7D&s=5&r=39
102_s.1435,S. 1435,102,International Security and Economic Cooperation Act of 1991,0,1,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/1435?q=%7B%22search%22%3A%22International+Security+and+Economic+Cooperation+Act+of+1991%22%7D&s=9&r=68
102_s.1469,S. 1469,102,Chinese Democracy and Human Rights Act of 1991,1,1,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/1469?q=%7B%22search%22%3A%22Chinese+Democracy+and+Human+Rights+Right+Act+of+1991%22%7D&s=2&r=10
102_s.1731,S. 1731,102,United States-Hong Kong Policy Act of 1992,29,1,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/1731?q=%7B%22search%22%3A%22United+States-Hong+Kong+Policy+Act+of+1992%22%7D&s=4&r=7
102_s.1890,S. 1890,102,Forced Labor Products Investigation Act,0,1,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/1890?q=%7B%22search%22%3A%22Forced+Labor+Products+Product+Investigation+Act%22%7D&s=1&r=8
102_s.2177,S. 2177,102,A bill to request from certain countries information concerning American servicemen and civilians missing in Southeast Asia during the Vietnam conflict and to require the heads of Federal departments and agencies to disclose to Congress,1,1,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/2177?s=6&r=1214
102_s.2190,S. 2190,102,Trade Enforcement Act of 1992,0,1,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/2190?s=5&r=1
102_s.2197,S. 2197,102,Cuban Democracy Act of 1992,9,1,1,,Unavailable,0,https://www.congress.gov/bill/102nd-congress/senate-bill/2197?s=6&r=1194
102_s.2519,S. 2519,102,"A bill to provide authority to regulate exports, to improve the efficiency of export regulation, and to minimize interference with the ability to engage in commerce",0,1,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/2519?q=%7B%22search%22%3A%22S.+2519%22%7D&s=9&r=1
102_s.2808,S. 2808,102,United States-China Act of 1992,20,1,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/2808?q=%7B%22search%22%3A%22United+States-China+Act+of+1992%22%7D&s=7&r=4
102_s.2985,S. 2985,102,Radio Free Asia Act of 1992,17,1,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/2985?q=%7B%22search%22%3A%22S.+2985%22%7D&s=4&r=1
102_s.320,S. 320,102,Omnibus Export Amendments Act of 1991,15,1,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/320?q=%7B%22search%22%3A%22Omnibus+Omnibu+Export+Amendments+Amendment+Act+of+1991%22%7D
