con_legis_num,legislation_number,congress_session,title,cosponsors,bill,gov_track,dc_ratio_aggregate,ratio_binary,manual_coding,URL,canonical_id,in_filter,legislation_id,matched_keywords
101_s.amdt.324,s.amdt.324,101,S.Amdt.324 to S.1160,7.0,0.0,0.0,,Unavailable,1,https://www.congress.gov/amendment/101st-congress/senate-amendment/324?s=2&r=1,,False,,
101_s.amdt.331,s.amdt.331,101,S.Amdt.331 to S.1160,13.0,0.0,0.0,,Unavailable,1,https://www.congress.gov/amendment/101st-congress/senate-amendment/331?s=7&r=1,,False,,
101_s.amdt.362,s.amdt.362,101,S.Amdt.362 to S.1160,6.0,0.0,0.0,,Unavailable,1,https://www.congress.gov/amendment/101st-congress/senate-amendment/362?s=1&r=1,,False,,
101_s.amdt.521,s.amdt.521,101,S.Amdt.521 to S.1352,0.0,0.0,0.0,,Unavailable,1,https://www.congress.gov/amendment/101st-congress/senate-amendment/521?s=8&r=1,,False,,
101_s.amdt.697,s.amdt.697,101,S.Amdt.697 to H.R.2712,0.0,0.0,0.0,,Unavailable,1,https://www.congress.gov/amendment/101st-congress/senate-amendment/697?q=%7B%22search%22%3A%22S.+Amdt.+697%22%7D&s=6&r=1,,False,,
101_s.amdt.775,s.amdt.775,101,S.Amdt.775 to H.R.2939,0.0,0.0,0.0,,Unavailable,1,https://www.congress.gov/amendment/101st-congress/senate-amendment/775?s=2&r=1,,False,,
101_s.amdt.787,s.amdt.787,101,S.Amdt.787 to H.R.2939,1.0,0.0,0.0,,Unavailable,1,https://www.congress.gov/amendment/101st-congress/senate-amendment/787?s=5&r=1,,False,,
101_s.con.res.101,s.con.res.101,101,A concurrent resolution expressing the sense of the Senate concerning negotiations for a peace settlement in Cambodia.,4.0,0.0,1.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-concurrent-resolution/101?s=10&r=59,101_s.con.res.101,True,101_s.con.res.101,china|people's republic of china
101_s.con.res.113,s.con.res.113,101,A concurrent resolution expressing the sense of the Congress on international nuclear sales to South Asia.,10.0,0.0,0.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-concurrent-resolution/113?s=7&r=1,101_s.con.res.113,False,,
101_s.con.res.27,s.con.res.27,101,A concurrent resolution relating to the establishment of a Pacific Basin Forum.,4.0,0.0,0.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-concurrent-resolution/27?s=8&r=1,101_s.con.res.27,False,,
101_s.con.res.48,s.con.res.48,101,"A concurrent resolution expressing the Sense of the Congress regarding human rights abuses in China since the Red Army massacre of June 3, 1989.",0.0,0.0,1.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-concurrent-resolution/48?s=10&r=112,101_s.con.res.48,True,101_s.con.res.48,china|chinese
101_s.con.res.51,s.con.res.51,101,A concurrent resolution in support of human rights and democracy in Hong Kong.,0.0,0.0,1.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-concurrent-resolution/51?s=10&r=109,101_s.con.res.51,True,101_s.con.res.51,china|people's republic of china
101_s.con.res.75,s.con.res.75,101,A concurrent resolution to congratulate His Holiness the XIV Dalai Lama of Tibet for being awarded the 1989 Nobel Peace Prize.,8.0,0.0,0.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-concurrent-resolution/75?s=9&r=1,101_s.con.res.75,False,,
101_s.con.res.85,s.con.res.85,101,A concurrent resolution concerning the establishment of a multilateral initiative to promote confidence among the people of Hong Kong.,2.0,0.0,0.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-concurrent-resolution/85?s=2&r=1,101_s.con.res.85,False,,
